location,year,month,weight_range_high
"Americus, GA",2015,3,461.3636363636364
"Americus, GA",2015,4,475.86206896551727
"Americus, GA",2015,5,478.75
"Americus, GA",2015,6,471.05263157894734
"Americus, GA",2015,7,469.2307692307692
"Americus, GA",2015,8,514.8936170212766
"Americus, GA",2015,9,448.2142857142857
"Americus, GA",2015,10,477.27272727272725
"Americus, GA",2015,11,445.8333333333333
"Americus, GA",2015,12,434.7826086956522
"Americus, GA",2016,1,482.3529411764706
"Americus, GA",2016,2,521.7391304347826
"Americus, GA",2016,3,509.61538461538464
"Americus, GA",2016,5,470.0
"Americus, GA",2016,6,482.14285714285717
"Americus, GA",2016,7,480.0
"Americus, GA",2016,8,492.0
"Ashburn, GA",2002,9,480.2325581395349
"Ashburn, GA",2002,10,488.0952380952381
"Ashburn, GA",2002,12,489.51612903225805
"Ashburn, GA",2003,1,488.0952380952381
"Ashburn, GA",2003,10,436.3636363636364
"Ashburn, GA",2004,1,459.61538461538464
"Ashburn, GA",2004,2,466.8831168831169
"Ashburn, GA",2004,3,460.6796116504854
"Ashburn, GA",2004,4,461.68224299065423
"Ashburn, GA",2004,5,451.05263157894734
"Ashburn, GA",2004,6,436.9047619047619
"Ashburn, GA",2004,7,451.4492753623188
"Ashburn, GA",2004,8,458.1521739130435
"Ashburn, GA",2004,9,475.0
"Ashburn, GA",2004,10,453.6458333333333
"Ashburn, GA",2004,11,443.1818181818182
"Ashburn, GA",2004,12,447.14285714285717
"Ashburn, GA",2005,1,478.125
"Ashburn, GA",2005,2,460.7142857142857
"Ashburn, GA",2005,3,465.8119658119658
"Ashburn, GA",2005,4,435.9375
"Ashburn, GA",2005,5,449.25373134328356
"Ashburn, GA",2005,6,439.9122807017544
"Ashburn, GA",2005,7,430.1470588235294
"Ashburn, GA",2005,8,471.9047619047619
"Ashburn, GA",2005,9,460.9375
"Ashburn, GA",2005,10,456.6666666666667
"Ashburn, GA",2005,11,466.1111111111111
"Ashburn, GA",2005,12,452.1276595744681
"Ashburn, GA",2006,1,462.2340425531915
"Ashburn, GA",2006,2,455.07246376811594
"Ashburn, GA",2006,3,458.47457627118644
"Ashburn, GA",2006,4,467.4157303370786
"Ashburn, GA",2006,5,462.3893805309734
"Ashburn, GA",2006,6,470.2247191011236
"Ashburn, GA",2006,7,471.2328767123288
"Ashburn, GA",2006,8,461.7391304347826
"Ashburn, GA",2006,9,464.2105263157895
"Ashburn, GA",2006,10,472.16494845360825
"Ashburn, GA",2006,11,451.74418604651163
"Ashburn, GA",2006,12,449.24242424242425
"Ashburn, GA",2007,1,478.8235294117647
"Ashburn, GA",2007,2,466.6666666666667
"Ashburn, GA",2007,3,493.75
"Ashburn, GA",2007,4,493.6170212765957
"Ashburn, GA",2007,5,456.2015503875969
"Ashburn, GA",2007,6,481.875
"Ashburn, GA",2007,7,474.24242424242425
"Ashburn, GA",2007,8,477.82608695652175
"Ashburn, GA",2007,9,468.4782608695652
"Ashburn, GA",2007,10,463.302752293578
"Ashburn, GA",2007,11,459.09090909090907
"Ashburn, GA",2007,12,472.3076923076923
"Ashburn, GA",2008,1,464.8809523809524
"Ashburn, GA",2008,2,476.5625
"Ashburn, GA",2008,3,493.4065934065934
"Ashburn, GA",2008,4,491.02564102564105
"Ashburn, GA",2008,5,484.5679012345679
"Ashburn, GA",2008,6,476.7857142857143
"Ashburn, GA",2008,7,482.95454545454544
"Ashburn, GA",2008,8,491.1111111111111
"Ashburn, GA",2008,9,486.95652173913044
"Ashburn, GA",2008,10,478.0952380952381
"Ashburn, GA",2008,11,478.125
"Ashburn, GA",2008,12,457.9710144927536
"Ashburn, GA",2009,1,485.23809523809524
"Ashburn, GA",2009,2,488.2352941176471
"Ashburn, GA",2009,3,510.0
"Ashburn, GA",2009,4,497.6923076923077
"Ashburn, GA",2009,5,505.12820512820514
"Ashburn, GA",2009,6,477.90697674418607
"Ashburn, GA",2009,7,479.89690721649487
"Ashburn, GA",2009,8,466.1290322580645
"Ashburn, GA",2009,9,461.34453781512605
"Ashburn, GA",2009,10,464.77272727272725
"Ashburn, GA",2009,11,479.76190476190476
"Ashburn, GA",2009,12,469.01408450704224
"Ashburn, GA",2010,1,490.7216494845361
"Ashburn, GA",2010,2,479.5
"Ashburn, GA",2010,3,488.9312977099237
"Ashburn, GA",2010,4,466.8181818181818
"Ashburn, GA",2010,5,454.6875
"Ashburn, GA",2010,6,456.04395604395603
"Ashburn, GA",2010,7,453.44827586206895
"Ashburn, GA",2010,8,474.25742574257424
"Ashburn, GA",2010,9,461.63793103448273
"Ashburn, GA",2010,10,470.3296703296703
"Ashburn, GA",2010,11,461.2676056338028
"Ashburn, GA",2010,12,460.5633802816901
"Ashburn, GA",2011,1,501.4423076923077
"Ashburn, GA",2011,2,478.3783783783784
"Ashburn, GA",2011,3,499.6212121212121
"Ashburn, GA",2011,4,495.87628865979383
"Ashburn, GA",2011,5,486.9318181818182
"Ashburn, GA",2011,6,458.0952380952381
"Ashburn, GA",2011,7,460.0
"Ashburn, GA",2011,8,504.2105263157895
"Ashburn, GA",2011,9,475.3246753246753
"Ashburn, GA",2011,10,471.7391304347826
"Ashburn, GA",2011,11,485.7843137254902
"Ashburn, GA",2011,12,457.84313725490193
"Ashburn, GA",2012,1,496.969696969697
"Ashburn, GA",2012,2,482.64462809917353
"Ashburn, GA",2012,3,503.60360360360363
"Ashburn, GA",2012,4,503.4313725490196
"Ashburn, GA",2012,5,478.4313725490196
"Ashburn, GA",2012,6,474.0740740740741
"Ashburn, GA",2012,7,453.030303030303
"Ashburn, GA",2012,8,484.65346534653463
"Ashburn, GA",2012,9,496.15384615384613
"Ashburn, GA",2012,10,485.39325842696627
"Ashburn, GA",2012,11,491.53846153846155
"Ashburn, GA",2012,12,458.0357142857143
"Ashburn, GA",2013,1,455.92105263157896
"Ashburn, GA",2013,2,498.6111111111111
"Ashburn, GA",2013,3,542.0454545454545
"Ashburn, GA",2013,4,522.2826086956521
"Ashburn, GA",2013,5,510.1010101010101
"Ashburn, GA",2013,6,495.94594594594594
"Ashburn, GA",2013,7,510.4166666666667
"Ashburn, GA",2013,8,514.516129032258
"Ashburn, GA",2013,9,504.4117647058824
"Ashburn, GA",2013,10,481.7647058823529
"Ashburn, GA",2013,11,480.55555555555554
"Ashburn, GA",2013,12,483.6734693877551
"Ashburn, GA",2014,1,514.3678160919541
"Ashburn, GA",2014,2,465.66265060240966
"Ashburn, GA",2014,3,494.6808510638298
"Ashburn, GA",2014,4,494.6236559139785
"Ashburn, GA",2014,5,468.6619718309859
"Ashburn, GA",2014,6,498.5074626865672
"Ashburn, GA",2014,7,489.61038961038963
"Ashburn, GA",2014,8,490.8783783783784
"Ashburn, GA",2014,9,508.7412587412587
"Ashburn, GA",2014,10,496.8553459119497
"Ashburn, GA",2014,11,486.2068965517241
"Ashburn, GA",2014,12,499.45054945054943
"Ashburn, GA",2015,1,495.7692307692308
"Ashburn, GA",2015,2,487.79527559055117
"Ashburn, GA",2015,3,508.28402366863907
"Ashburn, GA",2015,4,488.1642512077295
"Ashburn, GA",2015,5,492.4812030075188
"Ashburn, GA",2015,6,483.57142857142856
"Ashburn, GA",2015,7,507.72058823529414
"Ashburn, GA",2015,8,509.7345132743363
"Ashburn, GA",2015,9,499.1758241758242
"Ashburn, GA",2015,10,506.85483870967744
"Ashburn, GA",2015,11,486.60714285714283
"Ashburn, GA",2015,12,496.2686567164179
"Ashburn, GA",2016,1,508.1896551724138
"Ashburn, GA",2016,2,525.7042253521126
"Ashburn, GA",2016,3,509.85221674876846
"Ashburn, GA",2016,4,514.0939597315436
"Ashburn, GA",2016,5,500.38461538461536
"Ashburn, GA",2016,6,485.55555555555554
"Ashburn, GA",2016,7,486.4485981308411
"Ashburn, GA",2016,8,487.9120879120879
"Athens, GA",2002,9,514.2857142857143
"Athens, GA",2002,10,509.5238095238095
"Athens, GA",2002,12,515.7894736842105
"Athens, GA",2003,1,537.5
"Athens, GA",2003,10,491.6666666666667
"Athens, GA",2004,1,487.5
"Athens, GA",2004,2,407.6923076923077
"Athens, GA",2004,3,437.1621621621622
"Athens, GA",2004,4,428.7037037037037
"Athens, GA",2004,5,452.94117647058823
"Athens, GA",2004,6,473.728813559322
"Athens, GA",2004,7,426.3888888888889
"Athens, GA",2004,8,496.2686567164179
"Athens, GA",2004,9,460.7142857142857
"Athens, GA",2004,10,519.1489361702128
"Athens, GA",2004,11,447.5
"Athens, GA",2004,12,500.0
"Athens, GA",2005,1,470.0
"Athens, GA",2005,2,490.0
"Athens, GA",2005,3,455.6179775280899
"Athens, GA",2005,4,458.1967213114754
"Athens, GA",2005,5,455.55555555555554
"Athens, GA",2005,6,462.0
"Athens, GA",2005,7,465.1515151515151
"Athens, GA",2005,8,489.375
"Athens, GA",2005,9,519.0909090909091
"Athens, GA",2005,10,462.7659574468085
"Athens, GA",2005,11,447.22222222222223
"Athens, GA",2005,12,456.06060606060606
"Athens, GA",2006,1,432.4074074074074
"Athens, GA",2006,2,488.75
"Athens, GA",2006,3,433.125
"Athens, GA",2006,4,420.5128205128205
"Athens, GA",2006,5,460.6666666666667
"Athens, GA",2006,6,451.1363636363636
"Athens, GA",2006,7,453.125
"Athens, GA",2006,8,460.1190476190476
"Athens, GA",2006,9,499.25373134328356
"Athens, GA",2006,10,472.72727272727275
"Athens, GA",2006,11,469.672131147541
"Athens, GA",2006,12,436.6666666666667
"Athens, GA",2007,1,463.72549019607845
"Athens, GA",2007,2,456.4516129032258
"Athens, GA",2007,3,457.14285714285717
"Athens, GA",2007,4,473.728813559322
"Athens, GA",2007,5,491.86046511627904
"Athens, GA",2007,6,467.741935483871
"Athens, GA",2007,7,463.11475409836066
"Athens, GA",2007,8,454.6666666666667
"Athens, GA",2007,9,467.3076923076923
"Athens, GA",2007,10,475.0
"Athens, GA",2007,11,469.2307692307692
"Athens, GA",2007,12,472.09302325581393
"Athens, GA",2008,1,460.44776119402985
"Athens, GA",2008,2,510.5263157894737
"Athens, GA",2008,4,488.8157894736842
"Athens, GA",2008,5,550.0
"Athens, GA",2008,6,494.87179487179486
"Athens, GA",2008,7,535.2941176470588
"Athens, GA",2008,8,533.6538461538462
"Athens, GA",2008,9,528.7234042553191
"Athens, GA",2008,10,537.5
"Athens, GA",2008,11,504.1666666666667
"Athens, GA",2008,12,495.5882352941176
"Athens, GA",2009,1,509.30232558139534
"Athens, GA",2009,2,494.11764705882354
"Athens, GA",2009,3,492.72727272727275
"Athens, GA",2009,4,496.0
"Athens, GA",2009,5,490.35087719298247
"Athens, GA",2009,6,556.5217391304348
"Athens, GA",2009,7,535.9154929577464
"Athens, GA",2009,8,531.8181818181819
"Athens, GA",2009,9,544.1860465116279
"Athens, GA",2009,10,563.75
"Athens, GA",2010,2,516.6666666666666
"Athens, GA",2010,3,493.9189189189189
"Athens, GA",2010,4,503.030303030303
"Athens, GA",2010,5,477.536231884058
"Athens, GA",2010,6,513.2075471698113
"Athens, GA",2010,7,494.0
"Athens, GA",2010,8,521.2962962962963
"Athens, GA",2010,9,522.5806451612904
"Athens, GA",2010,10,530.46875
"Athens, GA",2010,11,497.11538461538464
"Athens, GA",2010,12,532.3529411764706
"Athens, GA",2011,1,492.3728813559322
"Athens, GA",2011,2,482.3943661971831
"Athens, GA",2011,3,460.7142857142857
"Athens, GA",2011,4,459.8360655737705
"Athens, GA",2011,5,482.53968253968253
"Athens, GA",2011,6,486.2068965517241
"Athens, GA",2011,7,509.5744680851064
"Athens, GA",2011,8,533.8461538461538
"Athens, GA",2011,9,510.1449275362319
"Athens, GA",2011,10,497.36842105263156
"Athens, GA",2011,11,526.1194029850747
"Athens, GA",2011,12,496.6666666666667
"Athens, GA",2012,1,488.04347826086956
"Athens, GA",2012,2,514.1975308641976
"Athens, GA",2012,3,511.4457831325301
"Athens, GA",2012,4,500.0
"Athens, GA",2012,5,516.6666666666666
"Athens, GA",2012,6,517.2413793103449
"Athens, GA",2012,7,522.4137931034483
"Athens, GA",2012,8,550.0
"Athens, GA",2012,9,571.9512195121952
"Athens, GA",2012,10,538.5416666666666
"Athens, GA",2012,11,557.3170731707318
"Athens, GA",2012,12,534.1269841269841
"Athens, GA",2013,1,518.6046511627907
"Athens, GA",2013,2,525.6410256410256
"Athens, GA",2013,3,538.3561643835617
"Athens, GA",2013,4,549.2647058823529
"Athens, GA",2013,5,542.528735632184
"Athens, GA",2013,6,525.0
"Athens, GA",2013,7,564.0350877192982
"Athens, GA",2013,8,551.5384615384615
"Athens, GA",2013,9,567.0731707317074
"Athens, GA",2013,10,522.6744186046511
"Athens, GA",2013,11,532.3076923076923
"Athens, GA",2013,12,518.9655172413793
"Athens, GA",2014,1,527.8688524590164
"Athens, GA",2014,2,513.3333333333334
"Athens, GA",2014,3,494.7674418604651
"Athens, GA",2014,4,480.60747663551405
"Athens, GA",2014,5,477.7173913043478
"Athens, GA",2014,6,482.86516853932585
"Athens, GA",2014,7,520.0617283950618
"Athens, GA",2014,8,518.8271604938271
"Athens, GA",2014,9,506.60919540229884
"Athens, GA",2014,10,523.1527093596059
"Athens, GA",2014,11,520.0854700854701
"Athens, GA",2014,12,517.2131147540983
"Athens, GA",2015,1,526.2589928057554
"Athens, GA",2015,2,509.0163934426229
"Athens, GA",2015,3,506.9767441860465
"Athens, GA",2015,4,510.1485148514852
"Athens, GA",2015,5,511.68224299065423
"Athens, GA",2015,6,528.4172661870504
"Athens, GA",2015,7,540.6896551724138
"Athens, GA",2015,8,526.7080745341615
"Athens, GA",2015,9,531.3513513513514
"Athens, GA",2015,10,529.0625
"Athens, GA",2015,11,530.8219178082192
"Athens, GA",2015,12,524.6575342465753
"Athens, GA",2016,1,516.4
"Athens, GA",2016,2,533.5526315789474
"Athens, GA",2016,3,510.828025477707
"Athens, GA",2016,4,539.795918367347
"Athens, GA",2016,5,517.2661870503597
"Athens, GA",2016,6,526.9633507853404
"Athens, GA",2016,7,553.8095238095239
"Athens, GA",2016,8,512.9213483146067
"Blackshear, GA",2003,9,481.8181818181818
"Blackshear, GA",2004,1,467.5
"Blackshear, GA",2004,2,405.88235294117646
"Blackshear, GA",2004,3,468.25396825396825
"Blackshear, GA",2004,4,447.6190476190476
"Blackshear, GA",2004,5,452.3809523809524
"Blackshear, GA",2004,6,446.7391304347826
"Blackshear, GA",2004,7,411.7647058823529
"Blackshear, GA",2004,8,426.3157894736842
"Blackshear, GA",2004,9,397.05882352941177
"Blackshear, GA",2004,10,413.19444444444446
"Blackshear, GA",2004,11,392.22222222222223
"Blackshear, GA",2004,12,346.6666666666667
"Blackshear, GA",2005,1,410.5263157894737
"Blackshear, GA",2005,2,478.125
"Blackshear, GA",2005,3,400.0
"Blackshear, GA",2005,4,459.61538461538464
"Blackshear, GA",2005,5,420.8333333333333
"Blackshear, GA",2005,6,472.22222222222223
"Blackshear, GA",2005,7,474.3243243243243
"Blackshear, GA",2005,8,447.05882352941177
"Blackshear, GA",2005,9,413.7931034482759
"Blackshear, GA",2005,10,413.6363636363636
"Blackshear, GA",2005,11,465.0
"Blackshear, GA",2005,12,417.39130434782606
"Blackshear, GA",2006,1,438.7096774193548
"Blackshear, GA",2006,2,426.1904761904762
"Blackshear, GA",2006,3,447.82608695652175
"Blackshear, GA",2006,4,418.75
"Blackshear, GA",2006,5,439.7435897435897
"Blackshear, GA",2006,6,414.70588235294116
"Blackshear, GA",2006,7,444.7368421052632
"Blackshear, GA",2006,8,433.9622641509434
"Blackshear, GA",2006,9,443.4782608695652
"Blackshear, GA",2006,10,504.54545454545456
"Blackshear, GA",2006,11,431.25
"Blackshear, GA",2007,2,466.6666666666667
"Blackshear, GA",2007,3,465.38461538461536
"Blackshear, GA",2007,4,435.8490566037736
"Blackshear, GA",2007,5,444.44444444444446
"Blackshear, GA",2007,6,454.1666666666667
"Blackshear, GA",2007,7,414.1025641025641
"Blackshear, GA",2007,8,427.90697674418607
"Blackshear, GA",2007,9,453.125
"Blackshear, GA",2007,10,461.2903225806452
"Blackshear, GA",2007,11,455.0
"Blackshear, GA",2007,12,493.1818181818182
"Blackshear, GA",2008,1,438.6363636363636
"Blackshear, GA",2008,2,468.75
"Blackshear, GA",2008,4,562.5
"Blackshear, GA",2008,5,520.8333333333334
"Blackshear, GA",2008,6,426.47058823529414
"Blackshear, GA",2008,7,464.51612903225805
"Blackshear, GA",2008,8,428.57142857142856
"Blackshear, GA",2008,9,430.0
"Blackshear, GA",2008,10,436.3636363636364
"Blackshear, GA",2009,2,468.1818181818182
"Blackshear, GA",2009,3,450.0
"Blakely, GA",2002,9,559.1836734693877
"Blakely, GA",2002,10,540.3846153846154
"Blakely, GA",2002,12,572.7272727272727
"Blakely, GA",2003,1,532.9268292682926
"Blakely, GA",2003,9,488.46153846153845
"Blakely, GA",2003,12,471.875
"Blakely, GA",2004,1,489.4736842105263
"Blakely, GA",2004,2,546.3636363636364
"Blakely, GA",2004,3,504.6511627906977
"Blakely, GA",2004,4,508.7719298245614
"Blakely, GA",2004,5,510.0
"Blakely, GA",2004,6,504.1095890410959
"Blakely, GA",2004,7,467.0731707317073
"Blakely, GA",2004,8,496.5686274509804
"Blakely, GA",2004,9,465.0
"Blakely, GA",2004,10,452.56410256410254
"Blakely, GA",2004,11,524.5454545454545
"Blakely, GA",2004,12,515.625
"Blakely, GA",2005,1,489.6551724137931
"Blakely, GA",2005,2,557.843137254902
"Blakely, GA",2005,3,539.8148148148148
"Blakely, GA",2005,4,505.8333333333333
"Blakely, GA",2005,5,544.1176470588235
"Blakely, GA",2005,6,487.3015873015873
"Blakely, GA",2005,7,507.77777777777777
"Blakely, GA",2005,8,529.1666666666666
"Blakely, GA",2005,9,497.6923076923077
"Blakely, GA",2005,10,477.5
"Blakely, GA",2005,11,495.45454545454544
"Blakely, GA",2005,12,476.9230769230769
"Blakely, GA",2006,1,529.4642857142857
"Blakely, GA",2006,2,478.57142857142856
"Blakely, GA",2006,3,506.3636363636364
"Blakely, GA",2006,4,474.5762711864407
"Blakely, GA",2006,5,500.0
"Blakely, GA",2006,6,500.0
"Blakely, GA",2006,7,476.59574468085106
"Blakely, GA",2006,8,525.8620689655172
"Blakely, GA",2006,9,571.875
"Blakely, GA",2006,10,521.551724137931
"Blakely, GA",2006,11,500.0
"Blakely, GA",2006,12,567.6470588235294
"Blakely, GA",2007,1,492.7083333333333
"Blakely, GA",2007,2,594.1176470588235
"Blakely, GA",2007,3,539.0909090909091
"Blakely, GA",2007,4,564.1666666666666
"Blakely, GA",2007,5,614.1509433962265
"Blakely, GA",2007,6,522.0930232558139
"Blakely, GA",2007,7,559.2105263157895
"Blakely, GA",2007,8,546.551724137931
"Blakely, GA",2007,9,583.3333333333334
"Blakely, GA",2007,10,505.17241379310343
"Blakely, GA",2007,11,534.4444444444445
"Blakely, GA",2007,12,560.0
"Blakely, GA",2008,1,550.0
"Blakely, GA",2008,2,479.1666666666667
"Blakely, GA",2008,3,562.8205128205128
"Blakely, GA",2008,4,583.3333333333334
"Blakely, GA",2008,5,585.5263157894736
"Blakely, GA",2008,6,542.8571428571429
"Blakely, GA",2008,7,527.5862068965517
